Original Language,Original Title,Overview,Popularity,Poster Path,Release Date,Title,Video,Vote Average,Vote Count
en,Indiana Jones and the Dial of Destiny,"Finding himself in a new era, approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",378.22,/Af4bXE63pVsb2FtbW8uYIyPBadD.jpg,2023-06-28,Indiana Jones and the Dial of Destiny,FALSE,5,24
en,The Last Kingdom: Seven Kings Must Die,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",222.198,/qcNDxDzd5OW9wE3c8nWxCBQoBrM.jpg,2023-04-14,The Last Kingdom: Seven Kings Must Die,FALSE,7.3,447
en,Transformers: Age of Extinction,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",234.982,/jyzrfx2WaeY60kYZpPYepSjGz4S.jpg,2014-06-25,Transformers: Age of Extinction,FALSE,5.9,7408
zh,龙马精神,A washed-up stuntman and his stunt horse become an overnight social media sensation when their real-life fight with debt collectors goes viral.,233.877,/ukFo9pwVJ5mzTgmFCanYsYC4roF.jpg,2023-04-07,Ride On,FALSE,7,66
en,The Machine,"Bert Kreischer faces a familial crisis and the arrival of his estranged father when the ghost of his booze-soaked past arrives: a murderous mobster hellbent on kidnapping Bert back to the motherland to atone for his crimes. Together, he and his father must retrace the steps of his younger self in the midst of a war between a sociopathic crime family while they attempt to find common ground.",355.377,/x9dGI7LIOMMlFzyIBUta1svft2Y.jpg,2023-05-25,The Machine,FALSE,6.1,32
en,Plane,"After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.",220.821,/qi9r5xBgcc9KTxlOLjssEbDgO0J.jpg,2023-01-12,Plane,FALSE,6.9,1352
de,99 Moons,"Everything is under control, she thinks. Everything is lost, he thinks. And then they meet. And fall.",212.019,/8hdVTMczTVcKEGgdL7ze5Xfor4n.jpg,2023-04-27,99 Moons,FALSE,5.8,2
en,M3GAN,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",202.654,/d9nBoowhjiiYc4FBNtQkPY7c11H.jpg,2022-12-28,M3GAN,FALSE,7.3,2813
fr,AKA,A steely special ops agent finds his morality put to the test when he infiltrates a crime syndicate and unexpectedly bonds with the boss' young son.,221.394,/3BSxAjiporlwQTWzaHZ9Yrl5C9D.jpg,2023-04-28,AKA,FALSE,7.1,383
en,Jagged Mind,"When Billie finds herself reliving different versions of the same first date, she must break out of a series of loops created by her manipulative ex-girlfriend.",189.645,/llvoAqUBvnhuo6M4iQah1SGE6kZ.jpg,2023-06-14,Jagged Mind,FALSE,5.4,9
zh,苏乞儿之武功盖世,"In the last years of the Qing Dynasty, Su Qier, the ten tigers of Guangdong, fought a decisive battle between the Ax Gang and the gangsters, and finally founded a school to spread martial arts.",210.168,/pOHSYM8LUHc370q0QzR5tcfa0sR.jpg,2023-01-01,Drunken Fist,FALSE,5.6,6
en,Murder Mystery 2,"After starting their own detective agency, Nick and Audrey Spitz land a career-making case when their billionaire pal is kidnapped from his wedding.",202.725,/s1VzVhXlqsevi8zeCMG9A16nEUf.jpg,2023-03-28,Murder Mystery 2,FALSE,6.6,1181
es,La Usurpadora,"Two identical twin sisters, separated at birth, one truly decent but humble, the other ultra rich, conniving, and truly destructive. They soon find themselves hopelessly intertwined in each other's lives.",185.997,/40UPlmnQcG71KSmjijksZjbsH2q.jpg,2023-04-07,La Usurpadora: The Musical,FALSE,6.7,13
en,Terrifier 2,"After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",197.173,/8gLhu8UFPZfH2Hv11JhTZkb9CVl.jpg,2022-10-06,Terrifier 2,FALSE,6.9,1268
en,Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",221.215,/cgYg04miVQUAG2FKk3amSnnHzOp.jpg,2023-07-19,Barbie,FALSE,0,0
zh,追龙番外篇之龙争虎斗,"Legendary heroes, lame-rich rises, dragons fight tigers, wealth and danger",203.408,/clAzJXKTRXOfmLovb8vyJsixB1H.jpg,2023-01-14,Extras For Chasing The Dragon,FALSE,4.2,5
en,Insidious: The Red Door,"To put their demons to rest once and for all, Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before, facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door.",206.901,/azTC5osYiqei1ofw6Z3GmUrxQbi.jpg,2023-06-16,Insidious: The Red Door,FALSE,9.1,5
en,65,"65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth, must fend off dinosaurs to reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet.",184.938,/rzRb63TldOKdKydCvWJM8B6EkPM.jpg,2023-03-02,65,FALSE,6.2,1284
